hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_hashtags_in_C   count_H_entire_dataset    count_hashtags_entire_dataset
AirborneTransmission	1274450883460255745		.50000		1	2		73477
torybrexitdisaster	1278401163373707267	16666.66666	1.00000	.00006	1	1	5	73477
LongCovid	1292141575947116544	55.80357	1.00000	.01792	1	1	1317	73477
NursesAreNotOk	1293684334805884928	100000.00000	1.00000	.00001	1	1	1	73477
BH	1294741	16666.66666	1.00000	.00006	1	1	5	73477
RussianRRRRRRetTracker	1295958600	50000.00000	1.00000	.00002	1	1	2	73477
LongCovid	1296279134079823872	55.80357	1.00000	.01792	1	1	1317	73477
UkraineRussiaWar	1297798760529985537	183.14835	.33333	.00182	1	3	134	73477
Russia	1297798760529985537	21.49129	.33333	.01551	1	3	1140	73477
Ukraine	1297798760529985537	8.15187	.33333	.04089	1	3	3005	73477
KayBurley	1299769218	5263.15789	1.00000	.00019	1	1	14	73477
UnionStrong	1303043874470985730	8333.33333	.50000	.00006	1	2	5	73477
ALUfortheWin	1303043874470985730	12500.00000	.50000	.00004	1	2	3	73477
minirant	130557513		1.00000		1	1		73477
Moltenheart	130980745		1.00000		1	1		73477
bcpoli	1311333942381875200	213.21961	1.00000	.00469	1	1	345	73477
Ukraine	1314241954058833926	24.45585	1.00000	.04089	1	1	3005	73477
savelocaljobs	1314549528155115525		.50000		1	2		73477
rmt	1314549528155115525	50000.00000	.50000	.00001	1	2	1	73477
ScrapNHSBill	1315053256343719936	16666.66666	1.00000	.00006	1	1	5	73477
Getvaxxed	1317720540	10000.00000	1.00000	.00010	1	1	8	73477
disgusting	131926473	25000.00000	1.00000	.00004	1	1	3	73477
loveislove	1320773699528699905	33333.00000	.33333	.00001	1	3	1	73477
EmbraceDiversity	1320773699528699905		.33333		1	3		73477
KindnessMatters	1320773699528699905	2564.07692	.33333	.00013	1	3	10	73477
BREAKING	132496568	171.52658	1.00000	.00583	1	1	429	73477
ImmunizeUnder5s	1325141531406184448	20000.00000	1.00000	.00005	1	1	4	73477
News6	133338929	20000.00000	1.00000	.00005	2	2	4	73477
News6	133338929	20000.00000	1.00000	.00005	2	2	4	73477
OTD	1335755932702224385	900.90090	1.00000	.00111	1	1	82	73477
HomeOfficeQuestions	1337725045		1.00000		1	1		73477
LongCovid	1348803690191351811	55.80357	1.00000	.01792	1	1	1317	73477
TrumpRally	1348930324047286272	1369.86301	1.00000	.00073	1	1	54	73477
COVID19	1354459849187356676	37.97949	1.00000	.02633	1	1	1935	73477
IStandWithUkriane	1355398340	1000.00000	1.00000	.00100	1	1	74	73477
gas	1357061886286602240	3571.42857	.50000	.00014	1	2	11	73477
perspective	1357061886286602240	50000.00000	.50000	.00001	1	2	1	73477
LongCovid	1358064335415877635	55.80357	1.00000	.01792	1	1	1317	73477
ClosetheSkyoverUkraine	1359532099	25000.00000	1.00000	.00004	1	1	3	73477
StandWithUkraine	1361726568343699457	83.75209	1.00000	.01194	1	1	878	73477
maskmandate	1364003111195480065	507.61421	1.00000	.00197	1	1	145	73477
Ukraine	1364639441604800513	24.45585	1.00000	.04089	1	1	3005	73477
PuertoRicoNoSeVende	138203134		1.00000		1	1		73477
vote	1397725068738826240	266.66400	.33333	.00125	1	3	92	73477
JamesforSenate	1397725068738826240		.33333		1	3		73477
Midterms2022	1397725068738826240	33333.00000	.33333	.00001	1	3	1	73477
NotMild	14051524	12500.00000	.50000	.00004	1	2	3	73477
COVID19Ontario	14051524	2380.95238	.50000	.00021	1	2	16	73477
EarthDay2022	1409613542068613121	7142.85714	1.00000	.00014	1	1	11	73477
LongCovid	1410580580454989828	55.80357	1.00000	.01792	1	1	1317	73477
CAATSA	1412464003926966272	12500.00000	.50000	.00004	1	2	3	73477
NoJetsForTurkey	1412464003926966272	50000.00000	.50000	.00001	1	2	1	73477
mask	1418251818317062145	510.17857	.14285	.00028	1	7	21	73477
PPE	1418251818317062145	1428.50000	.14285	.00010	1	7	8	73477
N95	1418251818317062145	90.98726	.14285	.00157	1	7	116	73477
KN95	1418251818317062145	751.84210	.14285	.00019	1	7	14	73477
FFP2	1418251818317062145	1428.50000	.14285	.00010	1	7	8	73477
Mask	1418251818317062145	510.17857	.14285	.00028	1	7	21	73477
COVID_19	1418251818317062145	155.27173	.14285	.00092	1	7	68	73477
WorldCancerDay	14193053	5000.00000	.50000	.00010	1	2	8	73477
BuildBackBetter	14193053	2380.95238	.50000	.00021	1	2	16	73477
StandWithUkraine	142061184	83.75209	1.00000	.01194	1	1	878	73477
TheWeekInCovid	1421835080813666306		1.00000		1	1		73477
Mitchplease	1422903257274490885	694.44444	1.00000	.00144	1	1	106	73477
January6th	14247236	1298.70129	1.00000	.00077	1	1	57	73477
NazaninFree	1425368203996372994	25000.00000	1.00000	.00004	1	1	3	73477
BreakTheBias	143148850	12500.00000	1.00000	.00008	1	1	6	73477
January6th	1441111022283079682	1298.70129	1.00000	.00077	1	1	57	73477
RetailLife	1441585487316062223		1.00000		1	1		73477
springstatement	14476016	11111.11111	1.00000	.00009	1	1	7	73477
foxoftheday	1449405863995879427	25000.00000	1.00000	.00004	1	1	3	73477
COVID19	14499829	37.97949	1.00000	.02633	1	1	1935	73477
LongCovid	1451207907098431503	55.80357	1.00000	.01792	1	1	1317	73477
ChefsForUkraine	14522537	3448.27586	1.00000	.00029	1	1	22	73477
CovidIsNotOver	1460650206844837893	135.50000	.33333	.00246	1	3	181	73477
JohnsonOut84	1460650206844837893	16666.50000	.33333	.00002	1	3	2	73477
GTTO	1460650206844837893	1666.65000	.33333	.00020	1	3	15	73477
UnitingForPeace	1469264387512979461	25000.00000	1.00000	.00004	1	1	3	73477
Sweden	14704278	1075.25806	.33333	.00031	1	3	23	73477
Finland	14704278	1041.65625	.33333	.00032	1	3	24	73477
NATO	14704278	179.20967	.33333	.00186	1	3	137	73477
Ukraine	1478729268981084162	24.45585	1.00000	.04089	1	1	3005	73477
FecalUrgencyOfNormal	1480266661768966148		1.00000		1	1		73477
NHS	1480623037204635649	1315.78947	1.00000	.00076	1	1	56	73477
Bucha	1482328498958213124	735.29411	1.00000	.00136	1	1	100	73477
Supercopa	14872237	6250.00000	.50000	.00008	1	2	6	73477
ElClásico	14872237		.50000		1	2		73477
Stinger	1489164711652466688	50000.00000	.50000	.00001	1	2	1	73477
Ukraine	1489164711652466688	12.22792	.50000	.04089	1	2	3005	73477
StudentsAgainstKenney	1491266563436990464	16666.00000	.16666	.00001	1	6	1	73477
ForASaferAlberta	1491266563436990464		.16666		1	6		73477
abed	1491266563436990464	106.83333	.16666	.00156	1	6	115	73477
abpoli	1491266563436990464	121.64963	.16666	.00137	1	6	101	73477
ableg	1491266563436990464	31.92720	.16666	.00522	1	6	384	73477
COVID19AB	1491266563436990464	47.89080	.16666	.00348	1	6	256	73477
AJustice4All	1494031609217048579	50000.00000	1.00000	.00002	1	1	2	73477
Mariupol	1494675681841758208	204.91803	1.00000	.00488	1	1	359	73477
LongCovid	149522272	55.80357	1.00000	.01792	1	1	1317	73477
Ukraine	1495480590572961792	24.45585	1.00000	.04089	1	1	3005	73477
ukraine	1497151329374031872	4.07581	.16666	.04089	1	6	3005	73477
germany	1497151329374031872	252.51515	.16666	.00066	1	6	49	73477
russia	1497151329374031872	10.74532	.16666	.01551	1	6	1140	73477
putin	1497151329374031872	28.78411	.16666	.00579	1	6	426	73477
war	1497151329374031872	333.32000	.16666	.00050	1	6	37	73477
RussianArmy	1497151329374031872	256.40000	.16666	.00065	1	6	48	73477
orangeskimaskpb	1497447437841182727		1.00000		1	1		73477
StandWithUkraine️	1499831533414371342		1.00000		1	1		73477
ArmUkraineNow	1505100747393880074	4761.90476	1.00000	.00021	1	1	16	73477
Mariupol	1505481949854502915	68.30532	.33333	.00488	1	3	359	73477
Azovstal	1505481949854502915	1754.36842	.33333	.00019	1	3	14	73477
ArmUkraineNow	1505481949854502915	1587.28571	.33333	.00021	1	3	16	73477
JudgeKetanjiBrownJackson	1507338108	4761.90476	1.00000	.00021	1	1	16	73477
Kharkiv	1507828874603806727	125.00000	.25000	.00200	1	4	147	73477
Ukrainian	1507828874603806727	70.82152	.25000	.00353	1	4	260	73477
Russian	1507828874603806727	37.42514	.25000	.00668	1	4	491	73477
Ukraine	1507828874603806727	6.11396	.25000	.04089	1	4	3005	73477
Brexit	152656121	574.71264	1.00000	.00174	1	1	128	73477
Aldi	15392486	16666.66666	1.00000	.00006	1	1	5	73477
LongCovid	15423737	55.80357	1.00000	.01792	1	1	1317	73477
NotACriminal	15439395		.50000		1	2		73477
TogetherWithRefugees	15439395		.50000		1	2		73477
LongCovid	15480566	55.80357	1.00000	.01792	1	1	1317	73477
Donetsk	154830217	1162.79069	.50000	.00043	1	2	32	73477
UkraineRussiaWar	154830217	274.72527	.50000	.00182	1	2	134	73477
WeAreCanadian	155930120		.50000		1	2		73477
CovidIsNotOver	155930120	203.25203	.50000	.00246	1	2	181	73477
RIPHowardHesseman	156306739		1.00000		1	1		73477
txlege	15676944	4166.66666	1.00000	.00024	1	1	18	73477
FBR	15801906	8333.33333	1.00000	.00012	1	1	9	73477
PEI	15807351	6250.00000	.50000	.00008	1	2	6	73477
NorthernLights	15807351	3125.00000	.50000	.00016	1	2	12	73477
LincolnHeights	15852801	20000.00000	1.00000	.00005	1	1	4	73477
WW2	1588068188	25000.00000	1.00000	.00004	1	1	3	73477
auspol	159021888	191.57088	1.00000	.00522	1	1	384	73477
ScammingRefugees	16185879		1.00000		1	1		73477
Kharkiv	163018653	250.00000	.50000	.00200	1	2	147	73477
RussianWarCrimes	163018653	1428.57142	.50000	.00035	1	2	26	73477
Ukraine	1647573157	24.45585	1.00000	.04089	1	1	3005	73477
UkraineRussia	16513335	1785.71428	.50000	.00028	1	2	21	73477
Ukraine	16513335	12.22792	.50000	.04089	1	2	3005	73477
freedom	1652253570	2777.77777	1.00000	.00036	1	1	27	73477
gapol	16563015	4166.66666	.50000	.00012	1	2	9	73477
gasen	16563015	6250.00000	.50000	.00008	1	2	6	73477
ableism	166985027	50000.00000	1.00000	.00002	1	1	2	73477
MitchPlease	17010536	694.44444	1.00000	.00144	1	1	106	73477
trumprussia	17027632	50000.00000	1.00000	.00002	1	1	2	73477
C4News	17062358	3703.70370	1.00000	.00027	1	1	20	73477
Zelensky	1712765988	714.28571	.50000	.00070	1	2	52	73477
Ukraine	1712765988	12.22792	.50000	.04089	1	2	3005	73477
qanda	173672963	2000.00000	1.00000	.00050	1	1	37	73477
neonicotinoids	174292801	50000.00000	1.00000	.00002	1	1	2	73477
auspol	175989309	95.78544	.50000	.00522	1	2	384	73477
ausvotes	175989309	1086.95652	.50000	.00046	1	2	34	73477
FBI	17629860	3225.80645	1.00000	.00031	1	1	23	73477
Ukraine	18004222	12.22792	.50000	.04089	1	2	3005	73477
NoFlyZone	18004222	1851.85185	.50000	.00027	1	2	20	73477
misinformation	18053163	20000.00000	1.00000	.00005	1	1	4	73477
Ukraine	18213483	24.45585	1.00000	.04089	1	1	3005	73477
Kharkiv	182373921	250.00000	.50000	.00200	1	2	147	73477
russianinvasion	182373921	2000.00000	.50000	.00025	1	2	19	73477
BritishAirways	18332190	50000.00000	1.00000	.00002	1	1	2	73477
Ukraine	1869683005	12.22792	.50000	.04089	1	2	3005	73477
Russia	1869683005	32.23726	.50000	.01551	1	2	1140	73477
Omicron	18831926	76.56967	.50000	.00653	1	2	480	73477
COVID19	18831926	18.98974	.50000	.02633	1	2	1935	73477
CovidIsNotOver	1885990177	406.50406	1.00000	.00246	1	1	181	73477
StopPutinsWar	18869484	595.23809	.12500	.00021	1	8	16	73477
FreeUkraine	18869484	543.47826	.12500	.00023	1	8	17	73477
WeAreAllUkrainians	18869484	1250.00000	.12500	.00010	1	8	8	73477
StandWithUkraine	18869484	10.46901	.12500	.01194	1	8	878	73477
StopTheWar	18869484	735.29411	.12500	.00017	1	8	13	73477
StandTogether	18869484	892.85714	.12500	.00014	1	8	11	73477
StopWar	18869484	1562.50000	.12500	.00008	1	8	6	73477
Ukraine	18869484	3.05698	.12500	.04089	1	8	3005	73477
Ukrainian	1891490382	94.42776	.33333	.00353	1	3	260	73477
Russian	1891490382	49.89970	.33333	.00668	1	3	491	73477
Mariupol	1891490382	68.30532	.33333	.00488	1	3	359	73477
COVID19	189868631	37.97949	1.00000	.02633	1	1	1935	73477
Omicron	19019465	51.04594	.33333	.00653	1	3	480	73477
NotMild	19019465	8333.25000	.33333	.00004	1	3	3	73477
LongCovidKids	19019465	320.50961	.33333	.00104	1	3	77	73477
SeizeTheYachts	19084896	16666.66666	1.00000	.00006	1	1	5	73477
LongCovid	191100226	55.80357	1.00000	.01792	1	1	1317	73477
LetFreeFloridaSayGay	1915033663	100000.00000	1.00000	.00001	1	1	1	73477
Ukraine	19386622	12.22792	.50000	.04089	1	2	3005	73477
Zaporizhzhia	19386622	1162.79069	.50000	.00043	1	2	32	73477
WeWantVotingRights	19422491	7142.85714	1.00000	.00014	1	1	11	73477
TomHanks	19479421	25000.00000	1.00000	.00004	1	1	3	73477
RussianColonialism	19500405	5882.35294	1.00000	.00017	1	1	13	73477
WindofChange	19536434	5263.15789	1.00000	.00019	1	1	14	73477
covid19	197208080	37.97949	1.00000	.02633	1	1	1935	73477
CovidIsNotOver	1972924590	406.50406	1.00000	.00246	1	1	181	73477
PMQs	20000725	243.30900	1.00000	.00411	1	1	302	73477
KillTheBill	20098015	2631.57894	.50000	.00019	1	2	14	73477
NeverAgain	20098015	1388.88888	.50000	.00036	1	2	27	73477
corsirosenthalbox	202390374	1176.47058	1.00000	.00085	1	1	63	73477
PMQs	20518688	243.30900	1.00000	.00411	1	1	302	73477
DowningStreetParties	20693873	925.92592	1.00000	.00108	1	1	80	73477
bbcqt	20699709	1694.91525	1.00000	.00059	1	1	44	73477
Partygate	20995648	249.37655	1.00000	.00401	1	1	295	73477
BodyLanguageExpert	212445456	25000.00000	.25000	.00001	1	4	1	73477
BodyLanguage	212445456	12500.00000	.25000	.00002	1	4	2	73477
Jan5thPipeBomber	212445456		.25000		1	4		73477
DCPipeBomber	212445456		.25000		1	4		73477
Wildfires	21249970	12500.00000	1.00000	.00008	1	1	6	73477
SOTU	21406834	735.29411	1.00000	.00136	1	1	100	73477
January6th	21461359	1298.70129	1.00000	.00077	1	1	57	73477
cafenero	21480788		1.00000		1	1		73477
Ukraine	21542518	24.45585	1.00000	.04089	1	1	3005	73477
NHS	2164654172	657.89473	.50000	.00076	1	2	56	73477
fundtheNHS	2164654172		.50000		1	2		73477
GetVaccinated	2180853599	4166.66666	1.00000	.00024	1	1	18	73477
MitchPlease	2207896346	694.44444	1.00000	.00144	1	1	106	73477
NEWS	22129280	1010.10101	1.00000	.00099	1	1	73	73477
txlege	221659600	4166.66666	1.00000	.00024	1	1	18	73477
revealed	2227646515	25000.00000	1.00000	.00004	1	1	3	73477
PMQs	22308033	243.30900	1.00000	.00411	1	1	302	73477
BoycottCoke	2233154425	16666.66666	1.00000	.00006	1	1	5	73477
RefugeesWelcome	225891527	1562.50000	.25000	.00016	1	4	12	73477
ToriesUnfitToGovern	225891527	2083.33333	.25000	.00012	1	4	9	73477
WaiveVisasNotFlags	225891527	25000.00000	.25000	.00001	1	4	1	73477
StandWithUkraine	225891527	20.93802	.25000	.01194	1	4	878	73477
Ukrainian	2260170266	141.64305	.50000	.00353	1	2	260	73477
Ukraine	2260170266	12.22792	.50000	.04089	1	2	3005	73477
VotingRights	226844500	4166.66666	1.00000	.00024	1	1	18	73477
AbLeg	22691054	95.78544	.50000	.00522	1	2	384	73477
COVIDAB	22691054	8333.33333	.50000	.00006	1	2	5	73477
LockHimUp	22730752	3448.27586	1.00000	.00029	1	1	22	73477
auspol	227531567	191.57088	1.00000	.00522	1	1	384	73477
NATO	2276080412	268.81720	.50000	.00186	1	2	137	73477
Ukraine	2276080412	12.22792	.50000	.04089	1	2	3005	73477
Nadal	228947490	16666.66666	1.00000	.00006	1	1	5	73477
antivaxxers	2313052066	980.39215	.50000	.00051	1	2	38	73477
antimaskers	2313052066	50000.00000	.50000	.00001	1	2	1	73477
COVIDWise	2314087860		.50000		1	2		73477
omicron	2314087860	76.56967	.50000	.00653	1	2	480	73477
DefendOurNDIS	23183455		1.00000		1	1		73477
SayNoToWar	2325201420	8333.33333	1.00000	.00012	1	1	9	73477
auspol	23256756	191.57088	1.00000	.00522	1	1	384	73477
ReedyCreek	23283299	25000.00000	.50000	.00002	1	2	2	73477
Disney	23283299	6250.00000	.50000	.00008	1	2	6	73477
longcovid	23373153	55.80357	1.00000	.01792	1	1	1317	73477
covid19	233788247	37.97949	1.00000	.02633	1	1	1935	73477
ToryCorruption	234694571	6250.00000	1.00000	.00016	1	1	12	73477
Ukraine	23951122	12.22792	.50000	.04089	1	2	3005	73477
Moldova	23951122	1612.90322	.50000	.00031	1	2	23	73477
GetVaccinated	241215352	4166.66666	1.00000	.00024	1	1	18	73477
StandWithUkraine	2414812230	41.87604	.50000	.01194	1	2	878	73477
RespectTheCharter	2414812230		.50000		1	2		73477
France	2420267570	2173.91304	1.00000	.00046	1	1	34	73477
Oligarch	243032876	16666.66666	1.00000	.00006	1	1	5	73477
COVIDisAirborne	243518851	216.45021	1.00000	.00462	1	1	340	73477
Partygate	2441666255	249.37655	1.00000	.00401	1	1	295	73477
covid	24442486	163.39869	1.00000	.00612	1	1	450	73477
vagov	246939630		1.00000		1	1		73477
Mariupol	2471773471	204.91803	1.00000	.00488	1	1	359	73477
cdnpoli	247412653	283.28611	1.00000	.00353	1	1	260	73477
AlboForPM	2490890594	869.56521	1.00000	.00115	1	1	85	73477
abed	24954627	320.51282	.50000	.00156	1	2	115	73477
abpoli	24954627	364.96350	.50000	.00137	1	2	101	73477
Longcovid	2497012915	55.80357	1.00000	.01792	1	1	1317	73477
MeterReadingDay	252569527	20000.00000	1.00000	.00005	1	1	4	73477
Ukraine	252591743	24.45585	1.00000	.04089	1	1	3005	73477
VotingRightsAct	255812611	2173.91304	1.00000	.00046	1	1	34	73477
Russia	2561718665	64.47453	1.00000	.01551	1	1	1140	73477
